2015-04-15 18:59:08 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [C:\xampp\htdocs\estesi\cake\libs\debugger.php, line 697]
2015-05-18 21:28:10 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:28:10 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:28:10 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:28:10 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:28:10 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:28:10 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:28:42 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:28:42 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:28:42 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:28:43 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:28:43 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:28:43 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:28:49 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:28:49 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:28:49 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:28:49 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:28:49 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:28:49 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:28:49 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:28:49 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:28:49 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:28:50 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:28:50 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:28:50 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:29:15 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:29:15 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:29:15 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:29:15 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:29:15 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:29:15 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:29:19 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:29:19 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:29:19 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:29:20 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:29:20 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:29:20 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:29:20 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:29:20 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:29:20 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:29:20 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:29:20 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:29:20 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:29:47 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:29:47 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:29:47 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:29:47 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:29:47 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:29:47 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:30:01 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:30:01 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:30:01 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:30:01 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:30:01 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:30:01 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:30:07 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:30:07 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:30:07 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:30:07 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:30:07 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:30:07 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:30:11 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:30:11 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:30:11 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:30:11 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:30:11 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:30:11 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:30:12 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:30:12 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:30:12 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:30:12 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:30:12 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:30:12 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 66]
2015-05-18 21:30:23 Debug: Notice (8): Undefined variable: title_for_layout in [C:\xampp\htdocs\git\sof\senderos\app\views\documents\add.ctp, line 6]
2015-05-18 21:30:23 Debug: Notice (8): Undefined variable: scripts_for_layout in [C:\xampp\htdocs\git\sof\senderos\app\views\documents\add.ctp, line 13]
2015-05-18 21:30:23 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:30:23 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:30:23 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 57]
2015-05-18 21:30:23 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 58]
2015-05-18 21:30:23 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 59]
2015-05-18 21:30:23 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 60]
2015-05-18 21:30:23 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 64]
2015-05-18 21:30:23 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 35]
2015-05-18 21:30:23 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 56]
2015-05-18 21:30:23 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 57]
2015-05-18 21:30:23 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 58]
2015-05-18 21:30:23 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 59]
2015-05-18 21:30:23 Debug: Notice (8): Undefined index: language in [C:\xampp\htdocs\git\sof\senderos\app\views\layouts\default.ctp, line 60]
